gene_name     synth_rate halflife
QSER1                7.0     29.9
CRBN                 6.2     10.2
PCDH1                1.1      8.1
P2RY10               1.8      9.9
GFRA3                2.6     11.8
RAB18                1.0      8.6
MYCBP                1.9      8.4
PITPNC1              5.7     17.1
PHKG2                0.9      8.8
DEFB110              6.7     17.2
LYST                 3.0     27.2
MAPK11               0.9      9.2
RBM33                2.8     22.6
SFTPA1               6.0      6.4
BEGAIN               5.0     15.1
FEN1                 2.3      6.1
DDTL                 4.0     14.8
APBB2                1.8      8.2
SART3               19.0     10.1
CDK6                20.2     17.7
C1orf27              1.7      9.0
TRAM1L1              1.0      7.6
ASB1                 0.8     19.2
PTEN                 2.3     18.2
GFRA2                1.5     10.4
CD63                 3.0     19.2
CALML3               5.4     24.3
TRAF4                1.3      5.5
AF011889.5           1.7      8.0
MAGEB2               1.8     27.7
ZC3H11B              2.4     35.3
CDK2                 0.5     11.7
FAM179A              0.3     12.5
REG3A                0.9     14.8
NGRN                 5.0     16.0
CSPG4                2.9     22.2
SEPT10               4.8      7.8
CLDN5                2.0     10.0
MAP3K14              1.2      9.1
CYP4V2               0.5     14.3
SLC8A1               0.5     15.9
RP11-447L10.1        1.6     11.0
UXT                  5.3      6.8
MAFF                 4.7     17.6
MLX                  1.3      9.3
KRT37               18.7     11.9
MAP4K1               6.8     15.0
ANKRD29              1.4      7.2
CTAG1A               0.9      7.4
ZNF774               3.1     12.0
DLG5                 3.3     32.9
PDIA5                1.0     18.7
OR52N5               1.3     10.0
PPP1R15A             0.8     27.1
TBC1D3B              2.9     18.7
ACTR5                1.5     16.3
CYP1A2              15.9     16.2
SEPT14               3.2     10.0
TBC1D24              3.7      9.3
VSX2                 4.6     13.6
ZRANB3               3.2     18.5
BYSL                 3.5     14.3
LMBRD2               2.2     21.0
OTUD1                1.8     15.5
BRAP                 2.9     10.7
RTTN                 5.2     11.5
asparagus            2.2     24.1
SYNJ2BP-COX16        4.6     24.2
MAGEB1              13.8     13.3
AKR1A1               4.6     13.0
PLA2G4B             23.3     13.0
ATP6V1G2-DDX39B      1.9      8.7
MYO10                1.1      6.9
DACT1                2.8      9.9
TSPAN17              5.7     14.3
AC074033.1           2.0     12.8
WDR74                5.8     10.7
ZNF878               0.8     19.3
PCK1                 5.7     28.5
CABIN1               1.3      7.9
BNIPL                5.8     12.3
FOXD4L4              2.6      6.5
KIAA1024L            1.8     23.8
SCLY                 4.9     14.0
SLC38A4              2.4      9.0
OTUD7B               1.1      4.0
KHNYN                0.4      7.4
CWC27                3.6     16.4
ABCB5                5.9      8.4
PSD4                 4.0     14.8
UBXN10               3.3      4.7
NDUFA6               2.7     11.4
DCSTAMP              1.9     13.8
FAM89A               4.0     14.2
SMCO4                1.3     16.3
C10orf76             1.4     13.2
ELP2                 2.0     11.1
TDRD1                1.7     13.8
BZW2                 0.6      7.8
KCTD16               5.6     17.3
DYNC1I2              2.4     10.0
ZNF283               4.0      8.9
GFOD1                3.0     25.6
C18orf63             0.6     13.9
PRR30                7.7     10.4
C17orf51             2.5      8.8
ADCYAP1R1            2.2      4.8
PTN                  5.1      9.1
GRK2                 1.3     11.0
WDYHV1               1.5     14.2
DNAJA4               2.7      7.9
SIMC1                4.6     15.0
KIAA1324             9.3     13.5
SCNM1                5.7     15.1
SOAT2                2.0     16.3
ATAD3B               1.2      5.9
PEPD                 3.1      4.9
UBAP2                1.4     22.9
TOM1L2               0.3     11.5
MESP1               14.7      8.3
CELSR1               4.0     16.9
CDK5R1               0.8     10.9
IBA57                1.8     10.6
KLHL22               3.8     10.7
WDR5B                2.8     27.9
FAM204A              3.0     17.1
ARHGDIB              1.8      9.1
TNFAIP8L1            2.1     11.4
SPTBN4               1.9     11.3
CCL3L3               2.7      9.3
DMXL2                2.2      7.2
INO80B               0.8     20.5
CH17-140K24.8        6.6     29.0
LRFN2                2.2     13.9
LBX2                 5.8     13.9
KIF26A               5.0     17.8
RAD51D               1.0      6.9
SOX13                2.4     19.6
ARAP3                1.4     17.9
ACSM6                3.3     12.7
RANBP1               5.5     12.8
GRAMD1B              3.2      9.4
GTPBP8              11.0      9.2
TTBK2                4.5     20.9
TPD52L3              1.5     15.7
SPATA45              3.4      9.3
NOL8                 0.3     38.5
CLDN25               2.5     11.5
TP53I11              1.2      8.6
FAM25A               0.8     19.0
CHD8                 3.0     23.7
CAPSL                2.5     14.2
RRNAD1               2.7     21.9
CLEC1A               0.9      7.3
FEZ1                 5.9     15.1
SFRP2                4.4     13.1
TMF1                 2.4      5.4
KCNIP2               8.8      8.5
TBC1D4               2.7     12.0
SPATA24              3.0     44.0
CDHR3                2.6      7.6
PNN                  2.0     17.1
PIDD1                2.6      8.0
GIMAP5               2.2     11.1
STAC3                2.9     16.0
AMD1                 3.6     14.6
GLMN                 6.0     24.9
C21orf33             1.8     32.3
C5AR2                1.7      6.3
DPYSL5               3.6     15.0
SPATA8               4.1     10.0
PLPPR2               4.1      8.8
PAGE3               16.0     14.1
IGHMBP2              3.6      4.1
DALRD3               1.3     20.6
NT5E                 2.4      9.8
GBA2                 6.1      8.5
DMXL1                2.0      6.1
NPY                  1.7     10.3
IDUA                 3.7      5.1
USP6NL               7.5      6.6
PTCD2                2.4      6.4
RCC1                 2.2      9.9
CHP1                 0.2      5.4
HSF5                 3.4     23.3
ZNF248              21.5     21.8
ZDHHC18              8.4      7.6
KCNMA1               2.0      8.6
MAL2                11.8     36.1
TRIO                 0.6     12.6
COL28A1              2.4      6.1
ZNF33B               1.4     11.1
AC087350.1          11.1     21.0
PODN                 0.5     22.5
JMJD4               21.8      7.4
NACA                 2.3     15.5
PGAP1                0.5     12.9
CPSF3                6.0      8.7
DCLRE1A              1.2     10.1
HMBOX1               0.5      9.7
VPS41                2.3     14.8
CCL16                1.1      4.8
GNG8                 2.3     14.3
OR2A12               0.7     14.5
GATB                 4.1     13.5
MBNL2                1.2     24.7
NUDT4                1.4      8.0
RPP25L               1.5     24.0
MMP9                10.3     20.3
PQLC1                0.3     11.9
AC092718.1           3.5     21.9
LRRK1               75.3     10.9
YDJC                 0.9     10.2
BANK1                2.1      7.9
CCNB3               12.4     11.7
FAM50A               2.3      7.8
P4HTM                4.5     11.7
PLCG1                0.5     13.2
RP11-231C18.3        2.3      7.2
AC079907.1           0.5     15.0
HMHB1                3.5     12.7
RAVER1              22.8      4.0
GSC2                 0.8     20.0
GBGT1                5.1      9.4
GYS1                 0.8     12.2
CCT5                 4.6     19.9
C11orf49             1.0      8.3
GGH                 24.1      8.7
LRRC25               5.5     15.4
PPIH                 0.8     19.6
POLR2K               2.9      7.3
HDLBP                2.1     18.4
SPNS1                2.7     15.0
BIRC8                4.3     11.5
PIH1D2               6.3     14.5
CEP97                1.1     24.7
OPTN                 0.8     16.9
ENOPH1               0.4     14.1
HIST2H3PS2           1.6      6.4
EDEM3                0.3     10.7
MGP                  4.4     14.4
ZFHX2               15.5     17.9
NR6A1                1.2     32.8
DERL3                1.5     18.0
CXorf51A             1.0     16.9
P2RY13               1.0     16.9
PYCRL                6.2      8.8
FAM65C               2.1     13.3
TUBB4A               7.9     14.7
GPR65                1.7     12.4
CPOX                 2.7     14.0
HLA-DPB1             2.7     10.5
DHRS7C               1.4      8.4
LRRN2                4.1      6.7
TMEM67               4.5      8.3
PLAUR                1.4     10.1
EBF3                 1.4     14.6
ZNF235               7.1     22.8
LIF                  4.2      5.6
CMC4                 0.8      6.7
NUS1                 2.1      8.6
SLC12A9              0.3     13.5
NEURL2              27.2     17.3
PLA2G16              7.2     12.1
EIF1AX               2.8     13.7
IFIH1                7.4      9.3
LYZL1               19.1     10.7
LAMB4                1.0     12.6
PTCH2                0.9     23.5
KRT75                1.2     10.1
MDM2                 7.5     17.9
SLF2                 5.0      6.2
KRTAP4-12            0.9     35.0
BCAP31               2.9     16.5
TM9SF4               0.5      9.1
MAST3                3.4     25.3
C1QL3                3.7     15.0
MARCH10              3.7     13.7
MOGAT2               2.1     11.5
AP3M2               18.1     11.4
C17orf75             3.0     14.5
LCE2A                1.6     18.5
CEP85                2.8     16.6
METTL16              3.6     12.3
CCDC182              4.5     17.9
ATF7                 1.5     17.8
SIKE1                2.0      8.7
ZBTB43               1.3     15.9
SNRNP27              4.0     19.3
KCTD7                4.7     12.8
COMMD8               2.1     11.7
UST                  1.4     10.7
GAR1                 5.6      7.3
RP11-397G17.1        5.3     10.8
S100A10              2.0      4.1
PAK3                 0.9     11.2
UCK1                 1.6     20.9
DNAJC27              3.4     35.8
MIER1                0.9      8.0
MSANTD3-TMEFF1       1.7      8.3
AHSA2                4.2     12.7
ADM2                38.4     11.7
ARFRP1               4.6      9.2
KMT5C                2.4     21.8
CEACAM19            12.6     16.2
RBM8A                0.5      6.0
ACVR2A               0.9     12.4
ERMARD               0.9      8.4
RP11-1035H13.3      13.1      6.4
DEFB125              1.7     11.2
CARHSP1              3.0     13.3
MSMB                 8.4     17.0
QTRT2                5.9     15.7
BABAM1               5.2     20.8
GJE1                 1.0     47.5
CEACAM4              0.5     13.4
SF3B6                4.4      8.5
RPS10-NUDT3          1.7     37.1
CXXC5                0.4      6.4
FBXL18               1.1     13.5
IFIT1B               0.6     17.1
PSMD8               16.8     25.8
BUD13                1.4      6.5
TMEM108              1.3      5.7
CDK11A               4.2     17.0
FERMT1               3.6      5.4
CDRT1                2.5      8.2
BNIP1                3.4     13.3
RIPK4                2.1     25.7
ADH1A               11.8     16.7
JAZF1                0.3     12.6
LKAAEAR1             1.5     28.8
PTGES2               1.3      9.4
TADA2B               2.3      8.3
AMIGO2               0.7     11.0
FKBP1A               0.6     14.2
PAQR3                8.9     14.0
MARCKS               3.1     20.1
PCOLCE2              1.7      8.0
MURC                 1.0      5.1
MAB21L3              7.8      8.8
KLHDC1               2.9     19.5
RSAD2                0.9     18.2
RMDN3               12.1     18.5
ADGRA3               2.2      8.4
ITGA6                1.6     13.4
PIK3R6               0.8     21.6
pepper               1.2     11.8
FLAD1                1.9     16.4
CDH24                1.7     12.3
HOXB8                1.7     15.5
CHRDL2               2.4      9.6
CBLN3                0.8      7.1
KIFC2                2.9     12.6
VCPKMT               5.6      7.2
EDN1                18.0     25.1
MOGAT1               6.0     17.4
NBEAL1               1.0      9.9
PROP1                1.6      6.4
DIDO1                0.4      6.2
NAA25                0.1     10.0
CDRT15               1.6     18.2
C6orf223             0.2     12.5
ARL15                1.2     10.2
ETFA                 1.2     12.6
ADGRG6               1.7      9.1
RTP2                 1.0      5.3
tomato               1.0      5.3
EPHX3                1.9      8.6
CASP5                2.0      7.1
RDH11                0.8     13.4
TMEM222              1.2      7.5
IFT172               2.7     12.5
ZCCHC4               3.0      6.3
BRS3                 5.2     19.7
VWA2                 2.2     11.7
INPP5F               4.0     29.5
KRT15                2.2      7.5
CYP17A1              1.5     12.2
UBE2Q2               2.7      6.6
LRRTM3               5.3     16.7
TAAR9                2.1     35.6
TBC1D22A             4.2     12.3
FOXP4                1.3     10.8
TENM1                3.2     13.6
ARF3                 2.6     11.9
C9orf114             1.4      7.8
HIST1H3I             0.4      6.1
SKA2                 2.5      3.8
MSANTD2              6.4      6.5
TDP1                 8.3      4.0
MTX1                 1.6      3.6
TSSC1                0.7     19.6
SEC63                2.6     11.3
EMC1                 1.9      6.0
BBS5                 0.5     11.2
GALNT10              1.3      9.0
CHRFAM7A            21.7     13.0
SPG7                12.2     14.1
CHCHD7               1.8      4.7
DCAF10               0.4      8.9
C6orf47             28.5      4.4
DES                  2.1      4.3
UBE2I                2.1     10.8
PCDHGA8              1.4     17.3
CR2                  2.8     13.2
MPZL2                0.9     30.9
LAMTOR1              6.3     12.1
RBMY1B               0.1     27.8
KRTAP16-1            1.6      9.9
CTTNBP2             17.6      8.6
C1orf116             3.0     20.1
MPC2                 4.5     13.7
SPAG1                5.1     16.5
OR1M1                3.1      6.6
NFKB1                0.2      9.1
PNPLA5               1.0     12.4
RP11-240B13.2        0.2      4.8
ACSL3               10.7     23.1
RBM11                0.8     15.0
ITGAE                3.0      6.3
OR4M1                0.9      8.0
AC234582.1           5.3      6.9
PTPN6                0.7      8.6
FAM3C                9.5     22.8
PRKX                 4.0      6.7
C1orf112             4.3     17.3
RPUSD4              13.1      9.8
AF111168.1           0.9      7.1
MYOC                 0.2     17.8
OXT                  6.6     15.6
NFKBIL1              2.2     16.5
CCDC127             12.7     15.1
FANK1                0.7      7.3
LPO                  5.2     10.1
RFWD2                1.8     11.2
CPD                  0.8     20.2
OGFOD2               0.2      9.4
KLHDC3               0.8      7.3
SUCLG1              10.9     14.7
AP4B1                2.2     35.1
RHOXF2B              1.2     14.1
LIG4                 3.9     15.4
PAGE2                4.4      9.4
BAZ1A                1.4     11.2
CRTAP                0.6      8.7
FBXO6                5.0      5.8
FZD2                 2.0      5.7
SYCP2                1.3      7.2
RHBDD3               2.3     13.1
ZMAT1                0.3     12.0
CSN1S1               0.3      5.7
SEC61B               2.8     11.2
RPS12                8.2     10.4
COA1                 2.1      9.4
NSFL1C               1.1     22.9
OR5M1                0.5     33.4
C10orf10             3.0      7.2
NDFIP2               0.4      8.4
GALNT7               7.8     20.8
TIMM13               1.8      8.8
GPR18                8.1     28.0
TMEM200B             9.4     12.1
SGMS1                2.2     15.5
GCSAM                6.0     15.9
ADHFE1               3.6     16.2
SPACA1               1.0     11.3
TOB1                 2.4     12.6
RBM38                1.3     11.3
S100A9               1.2      6.1
MTNR1A               3.2      6.9
CTD-2313N18.7        4.0     12.4
KHDRBS3              0.2     17.6
SLC25A32             0.3      7.7
UCHL5                4.7     13.2
AHCYL1               4.8      9.0
BIRC6                2.0     11.9
CCDC154              0.6     20.2
DNASE2               0.8     18.7
SPRN                 1.2      6.7
SPRR3                1.3     13.0
SLC41A1              2.0     11.8
NME4                 1.0      5.4
MYOM1                3.4     18.4
MAPKAPK2             1.3     11.5
RP11-190A12.7        0.8      4.8
OLAH                 0.8      7.5
CTXN3               10.5      9.2
N4BP2L1              9.0      7.8
ZNF382               2.4     12.3
FUT9                 1.0      8.9
EIF3A                3.2     11.2
IKBKAP               2.0     10.3
MLST8                1.7      5.1
TAS1R2               1.1     15.4
WNT5A                1.2      8.3
KCTD3                1.0      8.4
OGFR                 3.0     13.9
AC004381.6           1.3     16.7
BBS9                11.1     20.1
IFNAR2               0.3     12.4
DNAJA1               2.9      8.5
ARRB1                3.4     11.9
OTOA                 0.9     10.5
FAM76A               5.6     14.7
ARHGAP4              0.7     17.7
QKI                  0.8      5.7
TNFAIP1              4.1      8.8
FDX1                 1.1     10.1
SAFB2                0.5     22.4
ZFP36L2              0.6     10.8
ZNF91                1.5     22.4
PTDSS1               1.6      6.1
RNASE11              1.0     20.1
SSC5D                2.5      9.5
DCD                  3.7     19.0
GNG10                1.2      9.6
ADGRE2               2.5      7.5
NT5C1B-RDH14         0.2      6.6
KCNK7                2.1     11.4
AURKB                2.2      6.8
PDYN                 8.6      8.8
TUBB8                7.1     37.5
SNCB                 0.4     15.7
HIPK3                5.8      7.7
WAPL                 2.9      5.7
TP63                 1.6      7.9
KATNAL2              6.9     17.1
AC023491.2           9.1     15.8
LCAT                 0.7      3.9
ATXN7L2              1.7      6.5
PGA4                21.3     24.9
TRIM23               1.0     14.2
CSDE1                0.4      9.4
CKAP2L               6.0     11.7
SCNN1B               1.5     12.4
TPM2                 3.0     14.3
PIAS2                3.5     13.6
RNF170               0.3     12.4
CD3E                 1.4      8.7
MYL9                 2.1     11.1
NDUFA4L2             2.0     19.8
PPRC1                0.6     10.4
TPRN                 2.5     10.6
ZNF705G              3.5     10.2
UBL7                 5.7     10.1
C1QTNF7              0.7     15.8
rosemary             1.5     25.8
ZNF251               2.7     12.9
C3orf33              2.2     24.5
KCNMB4               1.4     23.0
RUNDC1               1.3     13.2
POLG2                0.6      8.4
MED23                3.8     10.2
PKD2L2               4.9     24.6
SSUH2                2.1      6.0
UNKL                 1.4     13.2
NAT2                 1.2     14.9
GSN                  3.5     12.5
C20orf202            0.8     23.0
HOXB6                0.5     11.7
NUP54                1.9     11.2
SPRR1B               7.6     11.4
TMPRSS11D            3.7      5.6
YWHAQ                6.4     25.7
API5                 4.2     18.6
OR5T3                8.2     12.1
POLD3                5.7     13.3
LARP4                2.2      5.8
SLC27A4             11.8     15.6
NR0B2                8.0     13.5
SLC35B4              4.2      9.4
FAM111A              1.0     22.1
PLPP2                2.3      8.9
RIPK3                3.1     22.8
MPV17L2              3.5      9.8
ZNF570               2.1      7.7
TCP10                5.5     16.5
SERPINB10            3.1     13.0
PARP8                3.2     15.9
MCCC2                0.6     26.9
ACSM2B               2.4      4.6
FAM183A              1.8     26.8
CORT                 0.7     13.4
CCL23                5.1      6.6
HES4                 2.2      9.1
C11orf68             2.5     14.2
NOL3                 6.7      8.6
ALX4                 3.8     15.4
XIRP2                0.8     37.6
SPRED1               2.6      4.0
AKTIP                0.7      7.0
WDR92                4.7     10.6
NXPH4                3.2     13.5
ARHGEF10             2.3     12.2
RP11-637O19.3        3.4      7.0
OR52I2               1.8     10.0
ZC3H12C              1.8      5.5
C17orf64             1.3     12.6
TRIB2                1.6      7.5
TTC23                1.9     22.7
SFTPD                1.4     14.2
ALG6                 1.1     13.6
MKKS                 1.4      4.3
FOXE1               10.5      4.7
YIPF2                0.5     17.2
HAS1                 3.6      4.1
HRG                  4.7      6.7
CXCL10               1.5     12.2
GOLGA8R              2.0     10.2
BGN                  0.4     16.7
FOXI1                6.9     12.9
IKZF5                5.8      6.9
NGB                  2.5     39.4
YRDC                 2.1      8.9
ACTR1A               0.8      5.7
ERC1                 8.1     10.1
SECISBP2L            0.6      8.1
THOC3                0.8     18.8
LAD1                 1.1     11.2
EGFR                 3.3     12.3
SYT9                 9.2     11.5
TMLHE                1.3     24.2
ZNF516               3.8      6.9
TRPC4AP              9.2     14.7
CASR                 0.9     15.3
ZNF385C              3.6     13.1
PHLDA1               4.1     11.5
AXIN2                2.6     10.8
LRRFIP1              0.9      6.0
MMP26                0.9     11.5
SLC11A2              1.3     14.2
OR2T27               1.4     15.1
RP11-864I4.1         0.3      6.3
GPR101               0.5      9.5
MCC                  0.8      7.6
MB21D1               0.9     15.8
PCLO                 0.4      8.2
CDH22                4.4      7.0
PSMG3                1.3     14.8
FUT7                 5.3     11.3
GRAMD2               0.6     13.2
SBSPON               3.0     10.8
CT45A6               1.8     11.2
LCE2D                2.6     15.7
LAMA4                4.3      9.6
UTP15                3.6     13.4
ARNTL                1.1     10.2
THAP5                2.1     15.7
POU3F2               1.6      7.3
VCPIP1               2.9     28.0
DIO3                 7.4     10.9
OR8J1                2.7      5.6
REN                  5.4      4.8
LIPF                 6.6      9.5
VGF                  0.2     12.5
ASCC3                7.9      8.1
SPIN3                0.6     13.2
RBMY1E               5.5     12.1
TOMM7                2.7      5.5
NEUROD1              0.7     12.4
LY6H                 3.6     11.9
HS1BP3               0.3      7.8
DCLK3                6.6     11.0
OR13C8               2.7     10.0
FANCD2OS             0.6      7.7
GFM1                 3.2     19.6
SIRT4                0.5     15.3
FRK                  2.5     14.1
SPON1                2.4      6.5
KBTBD13              1.2      6.0
HYAL3                9.4     12.9
GRHL3                3.0     16.3
WSCD1                2.4     10.9
GOLGA6L6             1.2     12.9
ESRP1                0.3     14.5
ADAT3                6.6     23.7
CCP110               2.9      8.9
NAB1                 2.0      9.2
RP11-134F2.8         2.6     18.4
KIAA1958             3.0     21.2
HSPBP1               8.2     16.9
CTD-3088G3.8        28.0      5.9
PRPS1                1.9     28.9
MTA3                 6.6      5.1
CDKL3                0.5     10.1
CXCR1                2.7      7.8
ZNF277               1.2     16.2
CD68                 0.9      6.6
VEGFA                0.2     15.0
TMEM221             13.7     14.9
UBE2V2               3.2     10.2
TELO2                1.3      6.9
HAPLN1               1.4     22.6
GALNT14              0.4     11.6
AVPR1A               1.3     21.3
BACH2                1.3     13.0
WHSC1L1              0.7     12.4
PARVB               11.1      6.4
TSNAX                3.2      8.1
AGT                  1.3      5.7
C2orf42              4.0     17.3
C15orf41             2.2     11.9
SLC2A4RG             9.1      5.7
NUCB1                1.9     16.6
PRCC                 3.4      5.0
RFC4                 2.0     12.0
ANGPTL7             10.2     15.7
ZSCAN30              0.3     15.6
TRNT1                8.3      8.6
LY6G5B               4.8     20.4
JAG1                 8.5      7.0
RNF165               0.8      9.3
STARD3NL             6.0      9.7
C14orf142            2.9     11.0
CDC25C               1.1     14.5
FLG2                 4.9      9.6
RAX                  1.8     11.1
RPS6                 3.2     10.0
MALT1                1.2     13.1
AC007192.4           6.2      9.7
CFAP46               2.4      6.8
SPOP                 4.6      6.8
ZNF219               5.5      8.3
CD163                1.9     39.1
HOXB1                0.5     19.1
WDR37                2.1      5.3
TSPAN6               7.4      6.6
OR51B6               4.8     21.4
PTF1A                1.1     18.2
PSMD1                2.1     12.0
AGPAT2               0.8      6.7
MLLT1                0.7     14.1
ATP5L2               1.5     18.3
NDUFS2               0.2     12.1
ARG1                 0.3     17.7
ZNF510               2.8     10.9
ZDHHC23              3.1     23.1
PHF20                3.2     16.7
POLE4               19.4     13.1
STX4                 1.2     17.6
SPACA5               1.2      9.8
PRCD                 9.7      7.4
RIMKLA               0.3     13.6
MYOG                 2.5     11.3
PCSK7                1.0     13.5
SLC5A9               4.4     12.5
DCAF12L2             2.9     15.1
GOLPH3               1.3      4.8
ZNF555               6.5      7.0
UROD                 4.2     26.0
PDCL2                6.5     14.5
EML4                 0.5      9.7
PROS1                0.7      6.5
NFIA                 0.7      6.3
PITX3                2.8     15.6
OR4F17               2.2     11.6
AC138645.2           2.5      6.9
DAAM1                2.5      5.5
OMD                  2.4      8.6
GDF9                 0.3     10.9
ANXA9                7.3     12.4
DGCR2                1.9     20.7
RPL32                1.4      8.2
AL139333.1          16.8     20.8
ZNF530               8.4     11.2
PRSS16               0.3      9.5
ZSCAN12             11.9     13.0
SUCO                 5.2     15.1
KIAA0101             1.4      9.0
TMEM27               1.4     28.9
TSC22D2              1.1      6.5
CYP2B6               4.2     12.1
RBL1                 6.3     14.4
MGAT4C               0.7      9.6
ARRDC2               4.3     12.2
SLC25A33            10.4     20.3
SH3GLB2              4.0      9.5
EIF2AK1              1.3     14.7
ZNF648               3.9      8.7
RNH1                 2.9     20.8
FAM173B              1.3      8.8
OLFM2                1.2      9.7
VIPAS39             12.6     16.6
VPS33A               1.3     17.2
MAGEA1               2.1      8.9
ZSWIM8               3.1     15.7
NDUFS1               0.6     15.3
SEP15                1.1     12.3
RP11-691N7.6        10.0     10.7
IL1F10               2.4      8.9
CTAGE5               8.3     16.0
CNRIP1               3.3     13.6
THUMPD2              3.8     15.0
CBLB                 2.5     22.9
PHF13                3.9     12.4
TSPAN13              4.0     19.6
ASXL3                0.3     23.7
NCMAP                3.0     12.2
CDHR4                9.2     35.6
LAMP3                2.0     12.1
LILRB5               0.9     12.9
FDXACB1              6.8      7.5
AC055866.1           3.8      7.4
HGSNAT               9.6     16.7
PRR23D1              9.4     10.2
TEAD4                4.2     13.8
OR4F21               7.7     10.5
ROR2                25.5      8.0
KIAA1328             1.2     17.5
MED7                 0.9     11.3
TLL2                 3.0     14.3
SLC26A6              4.1      5.8
HMGN3                2.6     13.4
SF3B2                4.1      7.8
UGT2B4               2.6      8.4
ITIH2                1.9     16.6
RTF1                 3.9     13.8
PAMR1                0.4     22.6
UBASH3B              0.8     10.1
RAC1                 1.6      6.3
SPRR2G               1.1     14.6
DSP                  2.1      8.1
OR52N1               8.6     12.5
ZFYVE9               1.0      9.6
PRKAR1B              0.8     13.6
DNAH5                0.3     19.7
C4orf3               3.0     16.7
BCR                  1.4     16.8
SPTB                 0.6     18.3
TBC1D3               1.2      6.7
TBCK                 0.6     16.2
POLR2G               1.5      3.4
FDPS                 3.0     10.7
KCNK1                0.9     20.7
SPSB2                4.1      9.1
CYP4A11              3.8      9.6
AKAP5                2.0      4.8
OR13G1               1.9      7.1
LHFPL4               3.6     16.1
HOMEZ                1.5     16.9
HIST1H1D             0.6     11.3
FGL2                 1.0      7.4
AASS                 1.0     11.6
IGFL1                2.6     19.5
SERPINB11            1.4     20.4
PGLYRP2              2.7      6.5
ORMDL1               5.1     16.9
ETNK1                5.1     10.0
ITPA                 1.2      5.2
COA3                 2.3     17.8
TMPRSS11F            0.2     15.3
GPR160               0.9      6.7
LZTS1                0.1      9.1
SLC43A3              8.3     15.6
SETD1B               2.0     17.6
LRG1                14.3     20.4
ANKRD30BL            4.8      8.8
IFNA6                0.8      9.1
DNHD1                4.3     16.6
USP28                3.2     13.6
GSTT2B               0.5      9.4
ASCL3                4.0     12.3
ZXDC                 1.0      8.5
COL12A1              4.7      7.6
TRIM55               2.8     38.1
AKIRIN1              4.9      7.7
HEG1                 2.1     14.6
EIF3I                4.4     14.4
FAR1                 2.3     28.3
MAGEA9B              0.9      7.8
WDFY4                1.5     12.8
AVP                  3.2     43.7
KAZN                 7.6     12.8
NUBP2                2.2     14.7
GNPAT                0.7     10.6
ARHGEF26             0.9     10.2
GNA15                1.8     12.1
NLE1                 1.9     13.6
CTB-127M13.1         0.2     14.2
ZNF148              24.8     10.0
MKL2                 2.7      9.7
ZNF853              10.5      7.9
RTN3                 0.8     13.2
CAMK2D               5.4     11.4
TMEM265              0.9      5.4
ITIH5                1.6     18.1
RNF24                0.6     16.6
MYOZ1                2.9     12.6
AL513122.1           1.4      9.1
MTRNR2L12            5.4     13.3
NEDD4L               0.8     22.9
DPCD                 7.7      6.9
PNP                  2.6     15.9
A1BG                 1.2      5.6
TSC22D4              1.1     11.4
RBM39                4.2     17.9
TSEN15               8.0     12.3
ATP5EP2             12.0      6.4
CREB3L3              2.0      9.6
C14orf177            1.9     13.6
COL4A2               6.7     52.6
MRPL11               4.6     26.8
DOCK8                0.9      4.4
KLHL6                8.6     16.8
MSX1                 2.2     13.4
ZNF74                3.9     10.4
TBC1D10A             0.3      9.6
ITGA5                4.0     14.5
GSR                  2.8     11.0
NCR3LG1              1.9     14.8
SAMD9L               2.0     14.6
PBDC1                7.3      7.5
CPLX2                0.6     18.0
INS                  2.8     10.7
RNPC3                4.1     16.7
NRARP               14.2      7.2
CCDC136              8.2     14.2
KRTAP10-6            1.0      7.3
RP11-360D2.1         0.8      8.7
TMEM191B             4.8      8.5
ERBB3                0.9     21.1
ARSF                 2.1      5.7
FABP7                3.2      6.5
ZBTB17               3.6     13.4
AMBRA1               1.1     11.6
CXorf66              1.2      6.0
NPC2                 0.4      6.5
ARHGAP11A            0.9     15.0
WFDC12               3.1      8.3
CATSPERG             4.6      7.1
ADORA2A              0.4      7.9
DUSP5                1.1     23.0
TCEAL7               1.2      7.9
CXorf38              2.7      9.3
IL20RA               0.7     26.0
KLHL42               2.4      9.5
RP4-608O15.3         5.4     12.4
RP11-219A15.1        1.4     11.6
CUL2                 0.5      8.8
RP11-216L13.16       4.5     17.9
EFR3A                3.6     25.5
RBPMS                1.8     15.8
KLHL35               1.9     12.4
C19orf73             1.8     10.2
ITGA2                2.2     10.8
TMEM106C             1.1     14.5
SEC62                1.1     14.7
OR4S2                3.1     12.0
NBEA                 1.4     15.0
ATG4D                2.1     17.9
IDI1                 1.0     13.6
PTRH1                1.0     10.0
RPL10                0.8     18.8
AC006486.9          10.7     23.9
EPPK1                1.1      9.2
TXNDC15              0.4     19.4
EZR                  3.4     11.4
H1FX                 4.0     18.8
SLC25A18            24.9     15.0
MMP25               10.2     12.0
PRPF6                1.3     14.1
IRAK2                8.4     12.9
ADAM22               2.7     10.8
VWA7                 2.2     18.7
PSG4                 0.7     10.5
OR1N1                0.9     11.9
C7orf43              1.5     19.1
SNX25                5.4      5.1
RRP9                16.7      9.7
MTF2                 1.9     11.4
C1orf106             9.3     13.1
GIMAP4               3.4     11.1
PDPN                 6.2     17.0
TUBAL3               5.0     17.7
C16orf62             1.2     11.6
TUSC2                9.6      4.9
